tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N301US,AIRBUS INDUSTRIE,1989-08-01,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N301YV,EMBRAER,2001-04-09,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N302AS,BOEING,2003-04-30,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N302AW,BOEING,1997-06-27,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N302NB,AIRBUS INDUSTRIE,1999-12-22,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N302SW,BOEING,1985-01-10,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N302UA,BOEING,1987-01-09,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N303AS,BOEING,2001-06-26,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N303AW,BOEING,2002-01-23,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N303SW,BOEING,1985-05-06,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N303UA,BOEING,1987-01-16,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N303US,AIRBUS INDUSTRIE,1989-09-07,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N30401,BOEING,2001-05-30,737-924,1,Fixed Wing Multi-Engine,Turbo-Fan
N304AE,SAAB-SCANIA,1998-05-18,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N304SW,BOEING,1985-09-14,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N304UA,BOEING,1987-02-06,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N304US,AIRBUS INDUSTRIE,1989-09-05,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N305AS,BOEING,2001-05-17,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N305AW,BOEING,2000-09-14,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N305SW,BOEING,1985-09-18,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N305UA,BOEING,1987-02-10,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N305US,AIRBUS INDUSTRIE,1989-08-01,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N306AS,BOEING,2001-05-24,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N306AW,BOEING,2006-02-28,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N306SW,BOEING,1985-10-11,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N306UA,BOEING,1987-02-19,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N307AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N307AS,BOEING,2001-05-30,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N307AT,BOEING,2006-12-05,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N307AW,BOEING,2005-09-28,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N307SW,BOEING,2005-06-27,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N307UA,BOEING,1987-03-10,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N308AT,BOEING,2006-12-13,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N308AW,BOEING,2005-09-28,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N308SA,BOEING,1999-03-30,737-3Y0,1,Fixed Wing Multi-Engine,Turbo-Fan
N308SW,EMBRAER,2005-12-05,EMB-120ER,1,Fixed Wing Multi-Engine,Turbo-Prop
N308UA,BOEING,1987-03-27,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N309AS,BOEING,2001-07-30,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N309AT,BOEING,2007-01-24,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N309AW,BOEING,2005-09-28,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N309SW,BOEING,2005-06-27,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N309UA,BOEING,1987-04-16,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N309US,AIRBUS INDUSTRIE,2006-05-23,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N310NW,AIRBUS INDUSTRIE,2006-05-23,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N310SW,BOEING,1986-01-13,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N310UA,BOEING,1987-05-12,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N31131,EMBRAER,2003-04-09,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N311AT,BOEING,2007-02-01,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N311AW,BOEING,2006-02-28,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N311SW,BOEING,1986-03-21,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N311UA,BOEING,1988-01-14,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
