tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N10156,EMBRAER,2004-02-13,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N102UW,AIRBUS INDUSTRIE,1999-05-26,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N10323,BOEING,1997-07-01,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N103US,AIRBUS INDUSTRIE,1999-06-18,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N104UA,BOEING,1998-01-26,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N104UW,AIRBUS INDUSTRIE,1999-07-02,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N10575,EMBRAER,2003-06-24,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N105UA,BOEING,2007-10-15,747-451,1,Fixed Wing Multi-Engine,Turbo-Jet
N105UW,AIRBUS INDUSTRIE,1999-07-22,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N106US,AIRBUS INDUSTRIE,1999-08-05,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N107UA,BOEING,1998-08-24,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N107US,AIRBUS INDUSTRIE,1999-08-17,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N108UW,AIRBUS INDUSTRIE,1999-09-03,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N109UW,AIRBUS INDUSTRIE,1999-09-10,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N110UW,AIRBUS INDUSTRIE,1999-11-22,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N11106,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11107,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11109,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11113,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11119,EMBRAER,2003-01-08,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11121,EMBRAER,2003-01-22,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11127,EMBRAER,2003-03-10,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11137,EMBRAER,2003-05-21,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11140,EMBRAER,2003-06-16,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11150,EMBRAER,2003-10-21,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11155,EMBRAER,2004-01-28,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11164,EMBRAER,2004-06-09,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11165,EMBRAER,2004-06-24,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11176,EMBRAER,2005-01-12,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11181,EMBRAER,2005-04-13,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11184,EMBRAER,2005-05-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11187,EMBRAER,2005-07-13,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11189,EMBRAER,2005-08-11,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11191,EMBRAER,2005-09-14,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11192,EMBRAER,2005-10-05,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11193,EMBRAER,2005-10-19,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11194,EMBRAER,2005-11-09,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11199,EMBRAER,2006-02-22,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N111US,AIRBUS INDUSTRIE,1999-11-29,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N11206,BOEING,2000-07-27,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N112US,AIRBUS INDUSTRIE,1999-12-22,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N113UW,AIRBUS INDUSTRIE,2000-01-18,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N114UW,AIRBUS INDUSTRIE,2000-01-24,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N11526,EMBRAER,2001-04-04,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11535,EMBRAER,2002-07-10,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11536,EMBRAER,2002-07-10,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11539,EMBRAER,2002-05-29,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11544,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11547,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11548,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11551,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11565,EMBRAER,2002-08-23,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11612,BOEING,1994-07-20,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N11641,BOEING,1997-08-29,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N11651,BOEING,1997-12-31,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N11656,BOEING,2008-02-22,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N116UA,BOEING,1998-12-29,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N117UA,BOEING,1999-02-01,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N117UW,AIRBUS INDUSTRIE,2000-08-11,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N118US,AIRBUS INDUSTRIE,2000-09-14,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N119UA,BOEING,1999-03-31,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N119US,AIRBUS INDUSTRIE,2000-08-18,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N1200K,BOEING,1998-04-13,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N1201P,BOEING,1998-04-22,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N120UA,BOEING,1999-04-13,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N12109,BOEING,1994-12-07,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N12114,BOEING,1995-07-05,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N12116,BOEING,1996-03-29,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N12122,EMBRAER,2003-01-22,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12125,BOEING,1998-02-02,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N12126,EMBRAER,2003-02-12,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12135,EMBRAER,2003-05-07,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12136,EMBRAER,2003-05-14,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12142,EMBRAER,2003-06-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12145,EMBRAER,2003-08-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12157,EMBRAER,2004-02-19,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12160,EMBRAER,2004-04-14,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12163,EMBRAER,2004-05-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12166,EMBRAER,2004-07-28,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12167,EMBRAER,2004-07-29,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12172,EMBRAER,2004-10-27,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12175,EMBRAER,2004-12-15,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12195,EMBRAER,2005-12-07,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N121DE,BOEING,1987-06-09,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N121UA,BOEING,1999-04-23,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N121UW,AIRBUS INDUSTRIE,2000-09-22,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N12201,EMBRAER,2006-04-19,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12216,BOEING,1998-08-05,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N12218,BOEING,1998-08-17,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N12221,BOEING,1998-12-02,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N12225,BOEING,1998-12-22,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N12238,BOEING,1999-10-12,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N122UA,BOEING,1999-06-15,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N122US,AIRBUS INDUSTRIE,2000-11-30,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N12313,BOEING,1985-10-18,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N12318,BOEING,2006-07-18,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N12319,BOEING,2006-07-18,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N12322,BOEING,1997-06-30,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N12327,BOEING,2004-05-05,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N12349,BOEING,2006-10-04,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N123UW,AIRBUS INDUSTRIE,2000-11-20,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N124DE,BOEING,1987-11-25,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N124US,AIRBUS INDUSTRIE,2000-11-21,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N12519,EMBRAER,2001-01-10,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12528,EMBRAER,2002-05-31,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12530,EMBRAER,2002-05-31,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12540,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12552,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12563,EMBRAER,2002-06-27,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12564,EMBRAER,2002-07-18,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12567,EMBRAER,2002-08-26,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12569,EMBRAER,2003-06-24,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N125DL,BOEING,2008-02-06,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N126AT,BOEING,2004-06-24,737-76N,1,Fixed Wing Multi-Engine,Turbo-Fan
N126DL,BOEING,2008-02-04,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N127DL,BOEING,1988-07-11,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N128DL,BOEING,1988-07-13,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N128UA,BOEING,2000-05-15,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N12900,EMBRAER,2002-07-01,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12921,EMBRAER,2000-12-14,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12922,EMBRAER,2000-11-08,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12924,EMBRAER,2000-10-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12934,EMBRAER,1998-02-23,EMB-145EP,1,Fixed Wing Multi-Engine,Turbo-Jet
N12946,EMBRAER,1998-07-22,EMB-145EP,1,Fixed Wing Multi-Engine,Turbo-Jet
N12957,EMBRAER,1999-01-04,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12967,EMBRAER,1999-06-18,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N12996,EMBRAER,2000-10-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N129DL,BOEING,1988-07-11,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N1309T,DOUGLAS,2004-06-17,DC-9-31,1,Fixed Wing Multi-Engine,Turbo-Jet
N130DL,BOEING,2007-03-06,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N13110,BOEING,1994-12-08,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N13113,BOEING,1995-04-12,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N13118,EMBRAER,2003-06-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13123,EMBRAER,2003-02-05,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13124,EMBRAER,2003-02-05,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13132,EMBRAER,2003-04-09,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13133,EMBRAER,2003-04-16,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13138,BOEING,2000-06-02,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N13161,EMBRAER,2004-04-29,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N131DN,BOEING,2007-11-19,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N13202,EMBRAER,2006-04-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13248,BOEING,1999-12-07,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N132DN,BOEING,1991-02-15,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N1332U,MCDONNELL DOUGLAS,1986-12-22,DC-9-31,1,Fixed Wing Multi-Engine,Turbo-Jet
N1334U,DOUGLAS,1986-12-22,DC-9-31,1,Fixed Wing Multi-Engine,Turbo-Jet
N133DN,BOEING,1991-02-14,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N134DL,BOEING,1991-02-26,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N13538,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13550,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13553,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13566,EMBRAER,2002-08-23,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N135DL,BOEING,1991-06-06,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N13624,BOEING,1995-02-07,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N136DL,BOEING,1991-06-18,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N13716,BOEING,1998-12-07,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N13718,BOEING,1999-01-26,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N13720,BOEING,1999-03-01,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N13750,BOEING,1999-06-07,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N137DL,BOEING,1991-11-01,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N138DL,BOEING,1992-01-21,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N13903,EMBRAER,2002-07-02,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13908,EMBRAER,2002-05-31,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13913,EMBRAER,2001-05-25,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13914,EMBRAER,2001-05-09,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13929,EMBRAER,1997-11-29,EMB-145EP,1,Fixed Wing Multi-Engine,Turbo-Jet
N13935,EMBRAER,1998-02-23,EMB-145EP,1,Fixed Wing Multi-Engine,Turbo-Jet
N13936,EMBRAER,1998-02-23,EMB-145EP,1,Fixed Wing Multi-Engine,Turbo-Jet
N13949,EMBRAER,1998-07-22,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13955,EMBRAER,1999-01-04,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13956,EMBRAER,1999-01-04,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13958,EMBRAER,1999-01-04,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13964,EMBRAER,1999-06-17,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13965,EMBRAER,1999-06-17,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13968,EMBRAER,1999-06-17,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13969,EMBRAER,1999-09-17,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13970,EMBRAER,1999-09-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13975,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13978,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13979,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13988,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13989,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13990,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13992,EMBRAER,2000-10-20,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13994,EMBRAER,2000-10-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13995,EMBRAER,2000-10-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N13997,EMBRAER,2000-10-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N139DL,BOEING,1992-05-11,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N1402A,BOEING,1993-09-29,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N140LL,BOEING,2008-03-24,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N14102,BOEING,1994-06-03,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14105,EMBRAER,2003-06-24,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14106,BOEING,1994-09-23,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14107,BOEING,1994-10-17,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14115,BOEING,1995-08-15,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14116,EMBRAER,2003-06-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14117,EMBRAER,2003-06-26,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14118,BOEING,1997-03-28,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14120,BOEING,1997-08-05,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14121,BOEING,1997-08-01,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N14125,EMBRAER,2003-02-12,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14143,EMBRAER,2003-07-17,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14148,EMBRAER,2003-09-18,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14153,EMBRAER,2003-12-10,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14158,EMBRAER,2004-03-11,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14162,EMBRAER,2004-05-10,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14168,EMBRAER,2004-08-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14171,EMBRAER,2004-10-20,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14173,EMBRAER,2004-11-24,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14174,EMBRAER,2004-12-08,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14177,EMBRAER,2005-02-16,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14179,EMBRAER,2005-03-09,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14180,EMBRAER,2005-03-23,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14186,EMBRAER,2005-06-29,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14188,EMBRAER,2005-07-20,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14198,EMBRAER,2006-02-08,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14203,EMBRAER,2006-05-22,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14204,EMBRAER,2006-06-21,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14214,BOEING,1998-07-27,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14219,BOEING,1998-08-28,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14230,BOEING,1999-06-17,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14231,BOEING,1999-06-22,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14237,BOEING,1999-09-22,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14242,BOEING,1999-10-26,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14250,BOEING,2000-06-02,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N14308,BOEING,1985-09-24,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14320,BOEING,2004-02-17,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14324,BOEING,1997-07-01,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14325,BOEING,2008-05-21,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14334,BOEING,1997-09-02,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14335,BOEING,1997-09-02,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14336,BOEING,2007-06-20,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14337,BOEING,2007-04-17,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14341,BOEING,2007-04-17,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14342,BOEING,2007-04-17,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14346,BOEING,1987-09-15,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14347,BOEING,1987-10-16,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N14358,BOEING,2001-03-22,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N143DA,BOEING,1998-10-16,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N144DA,BOEING,1999-05-14,767-332,1,Fixed Wing Multi-Engine,Turbo-Fan
N14505,EMBRAER,2000-10-31,EMB-135ER,1,Fixed Wing Multi-Engine,Turbo-Jet
N14508,EMBRAER,2000-11-01,EMB-135ER,1,Fixed Wing Multi-Engine,Turbo-Jet
N14514,EMBRAER,2000-10-31,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14516,EMBRAER,2000-10-31,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14522,EMBRAER,2001-02-07,EMB-135LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14542,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14543,EMBRAER,2002-05-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14558,EMBRAER,2002-05-29,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14562,EMBRAER,2002-06-27,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14568,EMBRAER,2003-06-24,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14570,EMBRAER,2003-06-24,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14573,EMBRAER,2002-10-01,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14601,BOEING,1994-02-11,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14604,BOEING,1994-02-16,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14605,BOEING,1994-03-02,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14609,BOEING,1994-05-05,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14613,BOEING,1994-07-26,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14628,BOEING,1995-04-19,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14629,BOEING,1995-05-30,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14639,BOEING,1997-08-01,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14645,BOEING,1997-10-01,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14652,BOEING,1998-01-23,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14653,BOEING,1998-01-27,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14654,BOEING,1998-02-11,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14655,BOEING,1998-02-12,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14664,BOEING,2008-05-15,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14667,BOEING,1998-10-01,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14668,BOEING,1998-10-20,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N14704,BOEING,1998-04-27,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N14731,BOEING,1999-09-30,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N14735,BOEING,1999-09-23,737-724,1,Fixed Wing Multi-Engine,Turbo-Jet
N14902,EMBRAER,2002-07-03,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14904,EMBRAER,2002-07-03,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14905,EMBRAER,2002-07-03,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14907,EMBRAER,2002-05-31,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14916,EMBRAER,2001-04-19,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14920,EMBRAER,2001-01-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N14923,EMBRAER,2000-10-30,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
