DepDelay,ArrDelay,CarrierDelay,WeatherDelay,LateAircraftDelay,NASDelay,SecurityDelay,Delay_ID
3,-5,0,0,0,0,0,0
-6,-10,0,0,0,0,0,0
22,19,3,0,16,0,0,0
9,-1,0,0,0,0,0,0
28,21,0,0,21,0,0,0
1,3,0,0,0,0,0,0
4,13,0,0,0,0,0,0
16,17,0,0,16,1,0,0
11,3,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
1,-1,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
2,-2,0,0,0,0,0,0
1,-3,0,0,0,0,0,0
18,15,2,0,13,0,0,0
0,-9,0,0,0,0,0,0
25,27,0,0,25,2,0,0
1,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
-4,-16,0,0,0,0,0,0
-1,-7,0,0,0,0,0,0
-3,11,0,0,0,0,0,0
1,4,0,0,0,0,0,0
17,17,0,0,17,0,0,0
-2,-11,0,0,0,0,0,0
15,15,12,0,3,0,0,0
2,-9,0,0,0,0,0,0
-1,-15,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
-6,-10,0,0,0,0,0,0
0,-3,0,0,0,0,0,0
0,15,0,0,0,15,0,0
2,-6,0,0,0,0,0,0
-1,-2,0,0,0,0,0,0
15,8,0,0,0,0,0,0
0,-9,0,0,0,0,0,0
41,38,4,0,34,0,0,0
1,-9,0,0,0,0,0,0
1,-4,0,0,0,0,0,0
1,-3,0,0,0,0,0,0
-2,-4,0,0,0,0,0,0
-1,2,0,0,0,0,0,0
-2,-7,0,0,0,0,0,0
74,69,2,0,67,0,0,0
7,4,0,0,0,0,0,0
-1,-4,0,0,0,0,0,0
10,12,0,0,0,0,0,0
18,20,11,0,7,2,0,0
35,45,0,0,35,10,0,0
32,35,3,0,29,3,0,0
19,26,19,0,0,7,0,0
19,14,0,0,0,0,0,0
8,9,0,0,0,0,0,0
11,11,0,0,0,0,0,0
15,2,0,0,0,0,0,0
7,-5,0,0,0,0,0,0
2,-8,0,0,0,0,0,0
2,2,0,0,0,0,0,0
10,2,0,0,0,0,0,0
25,25,0,0,25,0,0,0
0,-3,0,0,0,0,0,0
47,36,1,0,35,0,0,0
0,-10,0,0,0,0,0,0
-7,-8,0,0,0,0,0,0
166,180,25,0,141,14,0,0
57,47,0,47,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0
-3,-7,0,0,0,0,0,0
127,130,5,0,122,3,0,0
20,13,0,0,0,0,0,0
-6,-12,0,0,0,0,0,0
46,38,0,0,38,0,0,0
5,12,0,0,0,0,0,0
2,10,0,0,0,0,0,0
9,11,0,0,0,0,0,0
5,0,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
28,20,0,0,0,20,0,0
0,-5,0,0,0,0,0,0
4,-2,0,0,0,0,0,0
25,29,25,0,0,4,0,0
3,-3,0,0,0,0,0,0
14,6,0,0,0,0,0,0
19,13,0,0,0,0,0,0
41,43,0,0,41,2,0,0
7,-1,0,0,0,0,0,0
12,5,0,0,0,0,0,0
6,3,0,0,0,0,0,0
2,3,0,0,0,0,0,0
0,-3,0,0,0,0,0,0
0,4,0,0,0,0,0,0
-3,-1,0,0,0,0,0,0
-3,-7,0,0,0,0,0,0
-3,-16,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
-6,-12,0,0,0,0,0,0
-3,8,0,0,0,0,0,0
13,7,0,0,0,0,0,0
-3,3,0,0,0,0,0,0
-4,-10,0,0,0,0,0,0
0,-25,0,0,0,0,0,0
-2,-12,0,0,0,0,0,0
-6,-3,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
3,-4,0,0,0,0,0,0
4,-3,0,0,0,0,0,0
0,-11,0,0,0,0,0,0
-4,5,0,0,0,0,0,0
1,-1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
79,79,0,0,79,0,0,0
0,-11,0,0,0,0,0,0
-2,-12,0,0,0,0,0,0
20,17,2,0,15,0,0,0
-1,-6,0,0,0,0,0,0
6,-3,0,0,0,0,0,0
12,12,0,0,0,0,0,0
-5,-10,0,0,0,0,0,0
-11,-19,0,0,0,0,0,0
-10,-43,0,0,0,0,0,0
0,11,0,0,0,0,0,0
19,29,10,0,9,10,0,0
-9,-30,0,0,0,0,0,0
75,44,0,0,44,0,0,0
5,-2,0,0,0,0,0,0
32,20,20,0,0,0,0,0
13,2,0,0,0,0,0,0
-4,-23,0,0,0,0,0,0
8,2,0,0,0,0,0,0
-4,-14,0,0,0,0,0,0
77,63,0,0,63,0,0,0
-5,-6,0,0,0,0,0,0
15,20,0,0,0,20,0,0
-5,4,0,0,0,0,0,0
-8,-4,0,0,0,0,0,0
-19,-13,0,0,0,0,0,0
-13,-24,0,0,0,0,0,0
-10,-12,0,0,0,0,0,0
26,35,35,0,0,0,0,0
-1,-23,0,0,0,0,0,0
47,46,0,0,46,0,0,0
116,114,0,0,114,0,0,0
-7,-20,0,0,0,0,0,0
80,72,0,0,72,0,0,0
-6,-15,0,0,0,0,0,0
-11,-14,0,0,0,0,0,0
-5,-13,0,0,0,0,0,0
15,-2,0,0,0,0,0,0
-7,-22,0,0,0,0,0,0
-11,-17,0,0,0,0,0,0
-10,7,0,0,0,0,0,0
-9,-14,0,0,0,0,0,0
-8,-2,0,0,0,0,0,0
7,14,0,0,0,0,0,0
16,23,23,0,0,0,0,0
126,121,121,0,0,0,0,0
19,4,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,-10,0,0,0,0,0,0
-4,-24,0,0,0,0,0,0
-8,-22,0,0,0,0,0,0
0,-9,0,0,0,0,0,0
-1,-8,0,0,0,0,0,0
-5,-24,0,0,0,0,0,0
-5,-1,0,0,0,0,0,0
-4,-19,0,0,0,0,0,0
0,3,0,0,0,0,0,0
64,81,0,81,0,0,0,0
6,-2,0,0,0,0,0,0
2,-2,0,0,0,0,0,0
-4,-11,0,0,0,0,0,0
41,27,27,0,0,0,0,0
31,21,0,0,21,0,0,0
-6,-16,0,0,0,0,0,0
-11,-32,0,0,0,0,0,0
-11,-24,0,0,0,0,0,0
45,20,20,0,0,0,0,0
97,78,0,0,0,78,0,0
6,-2,0,0,0,0,0,0
